kafe 2016-11-03 17:22:48,148 :: WARNING :: Overwriting existing error model for axis 0 of Dataset
kafe 2016-11-03 17:22:48,149 :: WARNING :: Overwriting existing error model for axis 1 of Dataset
kafe 2016-11-03 17:23:03,374 :: WARNING :: Overwriting existing error model for axis 0 of Dataset
kafe 2016-11-03 17:23:03,375 :: WARNING :: Overwriting existing error model for axis 1 of Dataset
kafe 2016-11-03 17:23:03,375 :: WARNING :: Overwriting existing error model for axis 0 of Dataset
kafe 2016-11-03 17:23:03,375 :: WARNING :: Overwriting existing error model for axis 1 of Dataset
kafe 2016-11-03 17:23:22,767 :: WARNING :: Overwriting existing error model for axis 0 of Dataset
kafe 2016-11-03 17:23:22,768 :: WARNING :: Overwriting existing error model for axis 1 of Dataset
kafe 2016-11-03 17:23:22,768 :: WARNING :: Overwriting existing error model for axis 0 of Dataset
kafe 2016-11-03 17:23:22,768 :: WARNING :: Overwriting existing error model for axis 1 of Dataset
kafe 2016-11-03 17:23:22,769 :: WARNING :: Overwriting existing error model for axis 0 of Dataset
kafe 2016-11-03 17:23:22,769 :: WARNING :: Overwriting existing error model for axis 1 of Dataset
kafe 2016-11-03 17:23:22,770 :: WARNING :: Overwriting existing error model for axis 0 of Dataset
kafe 2016-11-03 17:23:22,770 :: WARNING :: Overwriting existing error model for axis 1 of Dataset
kafe 2016-11-03 17:23:22,770 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 17:23:42,088 :: WARNING :: Overwriting existing error model for axis 0 of Dataset
kafe 2016-11-03 17:23:42,088 :: WARNING :: Overwriting existing error model for axis 1 of Dataset
kafe 2016-11-03 17:23:42,088 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 17:40:46,041 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 17:43:09,856 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 17:43:45,366 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 17:46:01,997 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 17:48:34,970 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 17:50:21,618 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 18:47:20,778 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 18:49:44,249 :: WARNING :: 'input_file' argument to Dataset() is deprecated.Use Dataset.read_from_file() instead.
kafe 2016-11-03 18:49:44,255 :: WARNING :: 'input_file' argument to Dataset() is deprecated.Use Dataset.read_from_file() instead.
kafe 2016-11-03 19:07:56,191 :: WARNING :: 'input_file' argument to Dataset() is deprecated.Use Dataset.read_from_file() instead.
kafe 2016-11-03 19:07:56,217 :: WARNING :: 'input_file' argument to Dataset() is deprecated.Use Dataset.read_from_file() instead.
kafe 2016-11-03 19:10:05,696 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 19:12:27,188 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 19:15:09,252 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 19:19:48,372 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 19:28:06,227 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 19:29:49,899 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 19:30:32,435 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 19:42:13,230 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 19:42:13,231 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 19:42:13,231 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 19:42:43,152 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 19:42:43,153 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 19:42:43,154 :: WARNING :: Warning: Covariance matrix for axis 1 is singular!
kafe 2016-11-03 19:47:30,284 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 19:48:20,593 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 19:50:56,055 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 20:04:52,104 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 20:08:39,794 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 20:10:51,352 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 20:36:13,056 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 20:42:28,813 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 20:50:21,720 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 20:56:45,438 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 20:57:25,594 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 21:02:49,913 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
kafe 2016-11-03 21:04:13,820 :: WARNING :: More than one Fit in the same Plot detected. In this case, axis labels default to `x` and `y` and must be set explicitly if something different is desired.
